Tabela 6579 - População residente estimada;;;
Ano;Cód.;Município;População residente estimada (Pessoas)
2002;1718865;Santa Fé do Araguaia (TO);5923
2002;1718881;Santa Maria do Tocantins (TO);2294
2002;1718899;Santa Rita do Tocantins (TO);1877
2002;1718907;Santa Rosa do Tocantins (TO);4420
2002;1719004;Santa Tereza do Tocantins (TO);2202
2002;1720002;Santa Terezinha do Tocantins (TO);2567
2002;1720101;São Bento do Tocantins (TO);3496
2002;1720150;São Félix do Tocantins (TO);1362
2002;1720200;São Miguel do Tocantins (TO);8807
2002;1720259;São Salvador do Tocantins (TO);2769
2002;1720309;São Sebastião do Tocantins (TO);3915
2002;1720499;São Valério (TO);5349
2002;1720655;Silvanópolis (TO);4482
2002;1720804;Sítio Novo do Tocantins (TO);9982
2002;1720853;Sucupira (TO);1408
2002;1720903;Taguatinga (TO);13541
2002;1720937;Taipas do Tocantins (TO);1615
2002;1720978;Talismã (TO);2449
2002;1721000;Palmas (TO);161137
2002;1721109;Tocantínia (TO);5828
2002;1721208;Tocantinópolis (TO);23978
2002;1721257;Tupirama (TO);1217
2002;1721307;Tupiratins (TO);1395
2002;1722081;Wanderlândia (TO);10486
2002;1722107;Xambioá (TO);11984
2002;2100055;Açailândia (MA);93455
2002;2100105;Afonso Cunha (MA);4701
2002;2100154;Água Doce do Maranhão (MA);9738
2002;2100204;Alcântara (MA);21650
2002;2100303;Aldeias Altas (MA);18681
2002;2100402;Altamira do Maranhão (MA);6165
2002;2100436;Alto Alegre do Maranhão (MA);21289
2002;2100477;Alto Alegre do Pindaré (MA);31748
2002;2100501;Alto Parnaíba (MA);10140
2002;2100550;Amapá do Maranhão (MA);5771
2002;2100600;Amarante do Maranhão (MA);33015
2002;2100709;Anajatuba (MA);21555
2002;2100808;Anapurus (MA);10287
2002;2100832;Apicum-Açu (MA);11662
2002;2100873;Araguanã (MA);8992
2002;2100907;Araioses (MA);34993
2002;2100956;Arame (MA);28985
2002;2101004;Arari (MA);26690
2002;2101103;Axixá (MA);10307
2002;2101202;Bacabal (MA);93263
2002;2101251;Bacabeira (MA);10766
2002;2101301;Bacuri (MA);15899
2002;2101350;Bacurituba (MA);4792
2002;2101400;Balsas (MA);64059
2002;2101509;Barão de Grajaú (MA);15738
2002;2101608;Barra do Corda (MA);78468
2002;2101707;Barreirinhas (MA);41415
2002;2101731;Belágua (MA);5297
2002;2101772;Bela Vista do Maranhão (MA);9322
2002;2101806;Benedito Leite (MA);5374
2002;2101905;Bequimão (MA);19347
2002;2101939;Bernardo do Mearim (MA);5469
2002;2101970;Boa Vista do Gurupi (MA);5470
2002;2102002;Bom Jardim (MA);35577
2002;2102036;Bom Jesus das Selvas (MA);17409
2002;2102077;Bom Lugar (MA);12069
2002;2102101;Brejo (MA);28242
2002;2102150;Brejo de Areia (MA);9199
2002;2102200;Buriti (MA);24393
2002;2102309;Buriti Bravo (MA);21510
2002;2102325;Buriticupu (MA);55405
2002;2102358;Buritirana (MA);14341
2002;2102374;Cachoeira Grande (MA);7704
2002;2102408;Cajapió (MA);9975
2002;2102507;Cajari (MA);12855
2002;2102556;Campestre do Maranhão (MA);12016
2002;2102606;Cândido Mendes (MA);17730
2002;2102705;Cantanhede (MA);17665
2002;2102754;Capinzal do Norte (MA);10605
2002;2102804;Carolina (MA);23849
2002;2102903;Carutapera (MA);19201
2002;2103000;Caxias (MA);141074
2002;2103109;Cedral (MA);10139
2002;2103125;Central do Maranhão (MA);7645
2002;2103158;Centro do Guilherme (MA);6408
2002;2103174;Centro Novo do Maranhão (MA);15098
2002;2103208;Chapadinha (MA);62260
2002;2103257;Cidelândia (MA);11974
2002;2103307;Codó (MA);112271
2002;2103406;Coelho Neto (MA);42749
2002;2103505;Colinas (MA);37236
2002;2103554;Conceição do Lago-Açu (MA);10400
2002;2103604;Coroatá (MA);57087
2002;2103703;Cururupu (MA);35535
2002;2103752;Davinópolis (MA);12117
2002;2103802;Dom Pedro (MA);22425
2002;2103901;Duque Bacelar (MA);9807
2002;2104008;Esperantinópolis (MA);21587
2002;2104057;Estreito (MA);23667
2002;2104073;Feira Nova do Maranhão (MA);7532
2002;2104081;Fernando Falcão (MA);4857
2002;2104099;Formosa da Serra Negra (MA);15010
2002;2104107;Fortaleza dos Nogueiras (MA);11693
2002;2104206;Fortuna (MA);14391
2002;2104305;Godofredo Viana (MA);6915
2002;2104404;Gonçalves Dias (MA);16844
2002;2104503;Governador Archer (MA);8854
2002;2104552;Governador Edison Lobão (MA);11516
2002;2104602;Governador Eugênio Barros (MA);14981
2002;2104628;Governador Luiz Rocha (MA);6466
2002;2104651;Governador Newton Bello (MA);12178
2002;2104677;Governador Nunes Freire (MA);28106
2002;2104701;Graça Aranha (MA);6120
2002;2104800;Grajaú (MA);49089
2002;2104909;Guimarães (MA);12700
2002;2105005;Humberto de Campos (MA);21517
2002;2105104;Icatu (MA);21659
2002;2105153;Igarapé do Meio (MA);10311
2002;2105203;Igarapé Grande (MA);9569
2002;2105302;Imperatriz (MA);231134
2002;2105351;Itaipava do Grajaú (MA);14359
2002;2105401;Itapecuru Mirim (MA);50532
2002;2105427;Itinga do Maranhão (MA);24832
2002;2105450;Jatobá (MA);4820
2002;2105476;Jenipapo dos Vieiras (MA);10241
2002;2105500;João Lisboa (MA);24836
2002;2105609;Joselândia (MA);14471
2002;2105658;Junco do Maranhão (MA);5804
2002;2105708;Lago da Pedra (MA);40962
2002;2105807;Lago do Junco (MA);9770
2002;2105906;Lago Verde (MA);14029
2002;2105922;Lagoa do Mato (MA);9648
2002;2105948;Lago dos Rodrigues (MA);8296
