Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2002;25013;Curimataú Oriental (PB);166152;-;4,76;9,83;4;27,47;58,71
2002;25014;Esperança (PB);120776;-;3,46;8,08;7,5;35,14;49,28
2002;25015;Brejo Paraibano (PB);290126;-;8,32;32,09;4,72;22,38;40,81
2002;25016;Guarabira (PB);361525;-;10,36;10,05;7,66;35,28;47,01
2002;25017;Campina Grande (PB);2040764;-;58,51;2,53;25,19;46,67;25,61
2002;25018;Itabaiana (PB);200900;-;5,76;10,38;6,4;28,54;54,68
2002;25019;Umbuzeiro (PB);86824;-;2,49;12,93;3,27;19;64,81
2002;25020;Litoral Norte (PB);375448;-;5,54;15,2;18,73;27,04;39,03
2002;25021;Sapé (PB);242298;-;3,58;14,26;6,66;27;52,08
2002;25022;João Pessoa (PB);5536634;-;81,74;0,93;25,46;53,84;19,77
2002;25023;Litoral Sul (PB);619387;-;9,14;16,52;45,55;22,21;15,72
2002;26001;Araripina (PE);560688;-;27,46;10,69;12,5;28,78;48,04
2002;26002;Salgueiro (PE);327376;-;16,03;11,49;10,29;33,48;44,74
2002;26003;Pajeú (PE);754892;-;36,97;16,42;12,75;31,86;38,97
2002;26004;Sertão do Moxotó (PE);398805;-;19,53;9,66;7,41;37,52;45,41
2002;26005;Petrolina (PE);1467888;-;69,43;18,4;17,05;38,66;25,89
2002;26006;Itaparica (PE);646336;-;30,57;6,9;59,63;13,32;20,16
2002;26007;Vale do Ipanema (PE);271574;-;5,58;18,88;2,62;20,66;57,84
2002;26008;Vale do Ipojuca (PE);2154446;-;44,31;8,59;11,57;43,9;35,94
2002;26009;Alto Capibaribe (PE);490123;-;10,08;3,3;10,41;41,3;44,99
2002;26010;Médio Capibaribe (PE);527286;-;10,84;20,13;5,26;28,51;46,1
2002;26011;Garanhuns (PE);993907;-;20,44;14,61;11,31;33,38;40,71
2002;26012;Brejo Pernambucano (PE);425246;-;8,75;20,15;4,47;24,44;50,94
