Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Santana do Araguaia (PA);151561;150371;211552
Santarém (PA);211514;162075;234115
Santarém Novo (PA);3898;4176;6178
Santo Antônio do Tauá (PA);32051;68088;74793
São Caetano de Odivelas (PA);4406;7061;6855
São Domingos do Araguaia (PA);10758;15536;16582
São Domingos do Capim (PA);40955;56770;72543
São Félix do Xingu (PA);67132;88416;166274
São Francisco do Pará (PA);34902;33885;33979
São Geraldo do Araguaia (PA);49876;41460;44059
São João da Ponta (PA);2386;3956;3652
São João de Pirabas (PA);1684;1353;4289
São João do Araguaia (PA);8171;8695;14933
São Miguel do Guamá (PA);24530;26376;41788
São Sebastião da Boa Vista (PA);464;11637;52076
Sapucaia (PA);3337;2520;3184
Senador José Porfírio (PA);17177;17722;24500
Soure (PA);190;192;140
Tailândia (PA);118118;119782;162457
Terra Alta (PA);5755;10989;9268
Terra Santa (PA);382;483;678
Tomé-Açu (PA);113679;142915;187840
Tracuateua (PA);20308;17828;29967
Trairão (PA);58359;69629;94136
Tucumã (PA);25736;32029;42617
Tucuruí (PA);52744;132184;142155
Ulianópolis (PA);223736;207969;314805
Uruará (PA);101786;106015;120258
Vigia (PA);6492;8104;9328
Viseu (PA);30595;31050;126939
Vitória do Xingu (PA);39087;39473;38103
Xinguara (PA);9521;10324;11570
Serra do Navio (AP);7714;7356;7069
Amapá (AP);2835;2936;2702
Pedra Branca do Amapari (AP);14509;13755;12637
Calçoene (AP);7638;7750;7657
Cutias (AP);1958;2057;2061
Ferreira Gomes (AP);4335;5093;4598
Itaubal (AP);11527;8758;12083
Laranjal do Jari (AP);9719;11298;10381
Macapá (AP);41829;33821;41135
Mazagão (AP);11766;12920;11565
Oiapoque (AP);24668;21241;22255
Porto Grande (AP);17846;16806;15694
Pracuúba (AP);5042;5783;5163
Santana (AP);6662;7395;6885
Tartarugalzinho (AP);14932;14315;14773
Vitória do Jari (AP);7622;7506;7471
Abreulândia (TO);1079;11277;17210
Aguiarnópolis (TO);3497;5571;20563
Aliança do Tocantins (TO);5410;10700;9151
Almas (TO);15138;28665;23861
Alvorada (TO);74855;65296;39851
Ananás (TO);276;255;356
Angico (TO);1307;1089;1235
Aparecida do Rio Negro (TO);49706;52818;51571
Aragominas (TO);2089;2136;3260
Araguacema (TO);16702;15958;42210
Araguaçu (TO);16420;24569;14740
Araguaína (TO);8264;17085;21254
Araguanã (TO);1198;1057;1218
Araguatins (TO);2153;3023;3023
Arapoema (TO);5848;6037;5847
Arraias (TO);7895;4951;4839
Augustinópolis (TO);503;585;579
Aurora do Tocantins (TO);1723;1467;1955
Axixá do Tocantins (TO);744;813;1133
Babaçulândia (TO);5202;4787;11768
Bandeirantes do Tocantins (TO);915;1081;1091
Barra do Ouro (TO);24591;21284;26409
Barrolândia (TO);1463;1116;1607
Bernardo Sayão (TO);1280;8333;8920
Bom Jesus do Tocantins (TO);44117;33164;27793
Brasilândia do Tocantins (TO);4973;4708;359
Brejinho de Nazaré (TO);52920;70357;54928
Buriti do Tocantins (TO);440;271;300
Cachoeirinha (TO);683;585;977
Campos Lindos (TO);314936;291815;242060
Cariri do Tocantins (TO);60851;54929;27509
Carmolândia (TO);1070;1025;1000
Carrasco Bonito (TO);450;606;701
Caseara (TO);27449;21434;201222
Centenário (TO);5335;7822;6539
Chapada de Areia (TO);150;197;193
Chapada da Natividade (TO);37359;48769;47524
Colinas do Tocantins (TO);1453;776;868
Combinado (TO);2956;1911;2437
Conceição do Tocantins (TO);1269;1135;1435
Couto Magalhães (TO);8316;10165;9795
Cristalândia (TO);7887;15772;37770
Crixás do Tocantins (TO);12261;21382;22077
Darcinópolis (TO);27187;27995;35663
Dianópolis (TO);125204;7272;9905
Divinópolis do Tocantins (TO);2346;8429;27596
Dois Irmãos do Tocantins (TO);3045;2390;3159
Dueré (TO);30781;67247;65960
Esperantina (TO);900;1212;1356
Fátima (TO);3175;4918;2728
Figueirópolis (TO);47512;62814;40392
Filadélfia (TO);2307;1946;2140
Formoso do Araguaia (TO);156520;190353;176016
Fortaleza do Tabocão (TO);8487;6760;5319
Goianorte (TO);420;961;1032
Goiatins (TO);54106;61737;76650
Guaraí (TO);36070;28845;25934
Gurupi (TO);14233;30712;14366
Ipueiras (TO);17993;19748;15672
Itacajá (TO);18299;10458;9474
Itaguatins (TO);542;817;632
Itapiratins (TO);33168;27716;14792
Itaporã do Tocantins (TO);477;605;536
Jaú do Tocantins (TO);726;774;743
Juarina (TO);196;8211;8259
Lagoa da Confusão (TO);410423;375330;480826
Lagoa do Tocantins (TO);5821;5673;5339
Lajeado (TO);486;785;752
Lavandeira (TO);1097;1074;1289
Lizarda (TO);596;4126;6033
Luzinópolis (TO);858;828;778
