Tabela 793 - População residente;;;
Variável - População residente (Pessoas);;;
ano;cod;mun;pop
2007;2105153;Igarapé do Meio (MA);11697
2007;2105203;Igarapé Grande (MA);10676
2007;2105302;Imperatriz (MA);229671
2007;2105351;Itaipava do Grajaú (MA);13197
2007;2105401;Itapecuru Mirim (MA);54573
2007;2105427;Itinga do Maranhão (MA);25100
2007;2105450;Jatobá (MA);8255
2007;2105476;Jenipapo dos Vieiras (MA);14815
2007;2105500;João Lisboa (MA);19928
2007;2105609;Joselândia (MA);15583
2007;2105658;Junco do Maranhão (MA);4014
2007;2105708;Lago da Pedra (MA);42666
2007;2105807;Lago do Junco (MA);9616
2007;2105906;Lago Verde (MA);14580
2007;2105922;Lagoa do Mato (MA);10225
2007;2105948;Lago dos Rodrigues (MA);7780
2007;2105963;Lagoa Grande do Maranhão (MA);9015
2007;2105989;Lajeado Novo (MA);6620
2007;2106003;Lima Campos (MA);11365
2007;2106102;Loreto (MA);10340
2007;2106201;Luís Domingues (MA);6672
2007;2106300;Magalhães de Almeida (MA);14217
2007;2106326;Maracaçumé (MA);17537
2007;2106359;Marajá do Sena (MA);6790
2007;2106375;Maranhãozinho (MA);11887
2007;2106409;Mata Roma (MA);13812
2007;2106508;Matinha (MA);20422
2007;2106607;Matões (MA);28278
2007;2106631;Matões do Norte (MA);10576
2007;2106672;Milagres do Maranhão (MA);7617
2007;2106706;Mirador (MA);19445
2007;2106755;Miranda do Norte (MA);17742
2007;2106805;Mirinzal (MA);13786
2007;2106904;Monção (MA);27558
2007;2107001;Montes Altos (MA);8828
2007;2107100;Morros (MA);17077
2007;2107209;Nina Rodrigues (MA);10003
2007;2107258;Nova Colinas (MA);4829
2007;2107308;Nova Iorque (MA);4892
2007;2107357;Nova Olinda do Maranhão (MA);17121
2007;2107407;Olho d'Água das Cunhãs (MA);17361
2007;2107456;Olinda Nova do Maranhão (MA);12068
2007;2107506;Paço do Lumiar (MA);98175
2007;2107605;Palmeirândia (MA);18105
2007;2107704;Paraibano (MA);19453
2007;2107803;Parnarama (MA);34912
2007;2107902;Passagem Franca (MA);17085
2007;2108009;Pastos Bons (MA);17507
2007;2108058;Paulino Neves (MA);12799
2007;2108108;Paulo Ramos (MA);16129
2007;2108207;Pedreiras (MA);37984
2007;2108256;Pedro do Rosário (MA);21714
2007;2108306;Penalva (MA);33473
2007;2108405;Peri Mirim (MA);12219
2007;2108454;Peritoró (MA);19017
2007;2108504;Pindaré-Mirim (MA);30927
2007;2108603;Pinheiro (MA);74123
2007;2108702;Pio XII (MA);21821
2007;2108801;Pirapemas (MA);15043
2007;2108900;Poção de Pedras (MA);15853
2007;2109007;Porto Franco (MA);18692
2007;2109056;Porto Rico do Maranhão (MA);6900
2007;2109106;Presidente Dutra (MA);40004
2007;2109205;Presidente Juscelino (MA);11705
2007;2109239;Presidente Médici (MA);6058
2007;2109270;Presidente Sarney (MA);15606
2007;2109304;Presidente Vargas (MA);9798
2007;2109403;Primeira Cruz (MA);11999
2007;2109452;Raposa (MA);24201
2007;2109502;Riachão (MA);21016
2007;2109551;Ribamar Fiquene (MA);7170
2007;2109601;Rosário (MA);37920
2007;2109700;Sambaíba (MA);5792
2007;2109759;Santa Filomena do Maranhão (MA);5526
2007;2109809;Santa Helena (MA);34022
2007;2109908;Santa Inês (MA);82026
2007;2110005;Santa Luzia (MA);69306
