mun;ano;estab;taxa_estab
Mg-Itacarambi;2002;5;0,06097561
Mg-Itaguara;2002;38;0,130584192
Mg-Itaipe;2002;2;0,045454545
Mg-Itajuba;2002;226;0,105755732
Mg-Itamarandiba;2002;18;0,073770492
Mg-Itamarati de Minas;2002;10;0,163934426
Mg-Itambacuri;2002;14;0,045751634
Mg-Itambe do Mato Dentro;2002;0;0
Mg-Itamogi;2002;8;0,04494382
Mg-Itamonte;2002;41;0,166666667
Mg-Itanhandu;2002;51;0,150442478
Mg-Itanhomi;2002;10;0,082644628
Mg-Itaobim;2002;16;0,07239819
Mg-Itapagipe;2002;15;0,055350554
Mg-Itapecerica;2002;57;0,155737705
Mg-Itapeva;2002;18;0,106508876
Mg-Itatiaiucu;2002;14;0,102189781
Mg-Itau de Minas;2002;33;0,126436782
Mg-Itauna;2002;284;0,141504733
Mg-Itaverava;2002;4;0,1
Mg-Itinga;2002;2;0,0625
Mg-Itueta;2002;12;0,244897959
Mg-Ituiutaba;2002;165;0,073529412
Mg-Itumirim;2002;2;0,024390244
Mg-Iturama;2002;30;0,040160643
Mg-Itutinga;2002;9;0,130434783
Mg-Jaboticatubas;2002;22;0,098654709
Mg-Jacinto;2002;2;0,02020202
Mg-Jacui;2002;11;0,093220339
Mg-Jacutinga;2002;383;0,410503751
Mg-Jaguaracu;2002;3;0,045454545
Mg-Jaiba;2002;2;0,012048193
Mg-Jampruca;2002;2;0,024390244
Mg-Janauba;2002;77;0,073896353
Mg-Januaria;2002;43;0,079335793
Mg-Japaraiba;2002;10;0,238095238
Mg-Japonvar;2002;1;0,125
Mg-Jeceaba;2002;2;0,036363636
Mg-Jenipapo de Minas;2002;0;0
Mg-Jequeri;2002;6;0,056074766
Mg-Jequitai;2002;3;0,050847458
Mg-Jequitiba;2002;7;0,047619048
Mg-Jequitinhonha;2002;13;0,052419355
Mg-Jesuania;2002;9;0,092783505
Mg-Joaima;2002;4;0,023255814
Mg-Joanesia;2002;0;0
Mg-Joao Monlevade;2002;115;0,087585682
Mg-Joao Pinheiro;2002;65;0,069075452
Mg-Joaquim Felicio;2002;7;0,14
Mg-Jordania;2002;1;0,013888889
Mg-Jose Goncalves de Minas;2002;1;0,111111111
Mg-Jose Raydan;2002;2;0,166666667
Mg-Josenopolis;2002;1;0,25
