Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Alcântara (MA);61;73;61
Aldeias Altas (MA);45;53;62
Altamira do Maranhão (MA);367;450;923
Alto Alegre do Maranhão (MA);408;470;596
Alto Alegre do Pindaré (MA);285;582;872
Alto Parnaíba (MA);...;...;210
Amapá do Maranhão (MA);215;410;443
Amarante do Maranhão (MA);...;405;402
Anajatuba (MA);1832;2050;2224
Anapurus (MA);1515;1582;1080
Araguanã (MA);111;228;355
Araioses (MA);312;287;360
Arame (MA);280;338;210
Arari (MA);644;4068;4846
Axixá (MA);525;536;490
Bacabal (MA);4378;4640;4234
Bacabeira (MA);1901;2054;2301
Balsas (MA);1632;2034;1734
Barão de Grajaú (MA);...;...;184
Barra do Corda (MA);446;548;280
Barreirinhas (MA);2290;2081;2074
Belágua (MA);298;342;304
Bela Vista do Maranhão (MA);75;121;213
Bequimão (MA);147;188;197
Bernardo do Mearim (MA);137;140;159
Boa Vista do Gurupi (MA);...;...;203
Bom Jardim (MA);317;617;1373
Bom Jesus das Selvas (MA);276;398;626
Bom Lugar (MA);750;946;910
Brejo (MA);1624;1654;959
Buriti (MA);744;741;680
Buriticupu (MA);473;720;853
Buritirana (MA);206;146;162
Cachoeira Grande (MA);651;670;646
Cajapió (MA);130;139;116
Cajari (MA);160;173;514
Campestre do Maranhão (MA);303;230;422
Cândido Mendes (MA);23;15;16
Cantanhede (MA);787;887;973
Capinzal do Norte (MA);711;740;875
Carolina (MA);...;...;683
Carutapera (MA);...;...;495
Caxias (MA);4810;5900;6350
Centro do Guilherme (MA);1725;1838;1884
Centro Novo do Maranhão (MA);161;204;222
Chapadinha (MA);885;925;2358
Cidelândia (MA);57;164;462
Codó (MA);3922;4598;4877
Coelho Neto (MA);211;247;237
Colinas (MA);122;290;301
Conceição do Lago-Açu (MA);753;925;894
Coroatá (MA);553;649;632
Davinópolis (MA);130;533;545
Dom Pedro (MA);...;318;330
Duque Bacelar (MA);132;148;159
Esperantinópolis (MA);440;449;489
Estreito (MA);779;498;380
Feira Nova do Maranhão (MA);114;119;196
Fernando Falcão (MA);35;41;45
Formosa da Serra Negra (MA);770;713;744
Fortaleza dos Nogueiras (MA);105;128;97
Fortuna (MA);...;98;96
Godofredo Viana (MA);68;...;...
Gonçalves Dias (MA);98;203;848
Governador Archer (MA);...;...;134
Governador Edison Lobão (MA);2267;1629;1487
Governador Eugênio Barros (MA);...;...;46
Governador Luiz Rocha (MA);...;140;216
Governador Newton Bello (MA);109;192;234
Governador Nunes Freire (MA);159;155;140
Graça Aranha (MA);...;...;7
Grajaú (MA);1304;1689;1537
Humberto de Campos (MA);875;878;931
Icatu (MA);578;585;622
Igarapé do Meio (MA);7666;8899;11038
Igarapé Grande (MA);143;149;161
Imperatriz (MA);830;1564;1026
Itapecuru Mirim (MA);1401;1515;1584
Itinga do Maranhão (MA);...;...;36
Jatobá (MA);...;...;10
Jenipapo dos Vieiras (MA);35;53;64
João Lisboa (MA);371;442;95
Joselândia (MA);136;138;148
Junco do Maranhão (MA);150;335;332
Lago da Pedra (MA);2410;3071;2956
Lago do Junco (MA);137;142;158
Lago Verde (MA);1050;1278;1160
Lagoa do Mato (MA);72;85;94
Lago dos Rodrigues (MA);141;144;159
Lagoa Grande do Maranhão (MA);1067;1370;918
Lajeado Novo (MA);35;48;37
Lima Campos (MA);145;151;170
Loreto (MA);...;...;210
Luís Domingues (MA);287;211;203
Magalhães de Almeida (MA);72;71;82
Maracaçumé (MA);200;185;183
Marajá do Sena (MA);279;355;259
Maranhãozinho (MA);318;316;335
Mata Roma (MA);448;455;638
Matinha (MA);6783;12060;16298
Matões (MA);409;479;513
Matões do Norte (MA);219;247;262
Milagres do Maranhão (MA);314;350;351
Mirador (MA);...;...;...
Miranda do Norte (MA);1732;1935;2043
Monção (MA);229;292;430
Montes Altos (MA);1862;1620;420
Morros (MA);1084;1106;1136
Nina Rodrigues (MA);317;359;380
Nova Colinas (MA);...;...;436
Nova Iorque (MA);...;...;16
Nova Olinda do Maranhão (MA);1180;1112;1398
Olho d'Água das Cunhãs (MA);653;753;749
Olinda Nova do Maranhão (MA);302;309;797
Paço do Lumiar (MA);282;302;322
Parnarama (MA);214;277;279
Passagem Franca (MA);...;...;...
Pastos Bons (MA);15;16;42
Paulino Neves (MA);17;16;20
Paulo Ramos (MA);675;841;1155
Pedreiras (MA);762;776;862
Pedro do Rosário (MA);203;215;405
Penalva (MA);282;296;998
Peritoró (MA);31;37;41
Pindaré-Mirim (MA);362;399;630
Pinheiro (MA);72;81;79
Pio XII (MA);1028;1171;825
Pirapemas (MA);620;701;741
Poção de Pedras (MA);243;255;286
Porto Franco (MA);1178;1018;385
Presidente Dutra (MA);...;...;18
Presidente Juscelino (MA);1269;1200;1165
Presidente Médici (MA);1252;984;681
Presidente Vargas (MA);615;696;736
Primeira Cruz (MA);959;907;1657
Raposa (MA);104;80;81
Riachão (MA);986;1143;713
Ribamar Fiquene (MA);382;368;398
Rosário (MA);2069;2081;2041
Sambaíba (MA);59;67;102
Santa Filomena do Maranhão (MA);...;111;396
Santa Inês (MA);420;784;1264
Santa Luzia (MA);364;887;1216
Santa Luzia do Paruá (MA);1660;1347;1682
Santa Quitéria do Maranhão (MA);344;330;384
Santa Rita (MA);1916;2141;2431
Santana do Maranhão (MA);176;161;201
Santo Amaro do Maranhão (MA);747;619;656
Santo Antônio dos Lopes (MA);305;317;352
São Benedito do Rio Preto (MA);506;548;511
São Bernardo (MA);384;343;408
São Domingos do Azeitão (MA);124;114;119
São Domingos do Maranhão (MA);62;235;352
São Francisco do Brejão (MA);...;127;213
São Francisco do Maranhão (MA);...;...;128
São João Batista (MA);168;174;105
São João do Carú (MA);220;489;784
São João do Paraíso (MA);328;356;398
São João do Soter (MA);23;27;32
São João dos Patos (MA);...;...;102
São José de Ribamar (MA);...;...;...
São José dos Basílios (MA);...;...;218
São Luís (MA);227;454;326
São Luís Gonzaga do Maranhão (MA);1428;1809;2093
São Mateus do Maranhão (MA);671;777;556
São Pedro da Água Branca (MA);265;209;25
São Pedro dos Crentes (MA);...;130;128
São Raimundo das Mangabeiras (MA);927;1061;1530
São Raimundo do Doca Bezerra (MA);136;139;150
São Roberto (MA);130;133;143
São Vicente Ferrer (MA);149;143;145
Senador Alexandre Costa (MA);...;...;61
Senador La Rocque (MA);2546;1744;957
Sítio Novo (MA);90;175;183
Sucupira do Norte (MA);...;...;52
Sucupira do Riachão (MA);...;...;8
Tasso Fragoso (MA);...;...;140
Timbiras (MA);152;179;210
Timon (MA);3398;3430;3615
Trizidela do Vale (MA);1201;1248;1146
Tufilândia (MA);102;124;237
Tuntum (MA);...;...;35
Turiaçu (MA);...;256;420
Tutóia (MA);483;495;535
Urbano Santos (MA);1570;1559;1269
Vargem Grande (MA);734;807;836
Viana (MA);4429;4390;3383
Vila Nova dos Martírios (MA);239;211;603
Vitória do Mearim (MA);163;178;2654
Vitorino Freire (MA);2102;2543;2417
Zé Doca (MA);269;510;894
Agricolândia (PI);84;124;139
Água Branca (PI);17;34;25
Alto Longá (PI);860;1049;1323
Altos (PI);116;140;173
Alvorada do Gurguéia (PI);181;199;147
Amarante (PI);1407;1288;1373
Angical do Piauí (PI);44;50;109
Anísio de Abreu (PI);...;...;...
Aroazes (PI);80;95;119
Arraial (PI);...;...;...
Baixa Grande do Ribeiro (PI);...;25;21
Barra D'Alcântara (PI);...;45;39
Barras (PI);2031;1717;1739
Barreiras do Piauí (PI);34;...;...
Barro Duro (PI);506;666;207
Batalha (PI);768;1415;1586
Beneditinos (PI);50;59;68
Bertolínia (PI);...;60;54
Boa Hora (PI);6;5;85
Bocaina (PI);1875;1346;1428
Bom Jesus (PI);395;365;254
Bom Princípio do Piauí (PI);...;...;...
Bonfim do Piauí (PI);...;...;...
Boqueirão do Piauí (PI);6;8;9
Brasileira (PI);118;149;139
Brejo do Piauí (PI);52;59;157
Buriti dos Lopes (PI);441;517;577
Cabeceiras do Piauí (PI);327;438;289
