Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;
Nível;Cód.;Município;Produto das lavouras temporárias e permanentes x Ano x Variável;;;;;;;;;;;;;;
Nível;Cód.;Município;area_plantada14;area_colhida14;valor_prod14;area_plantada15;area_colhida15;valor_prod15;area_plantada16;area_colhida16;valor_prod16;area_plantada17;area_colhida17;valor_prod17;area_plantada18;area_colhida18;valor_prod18
MU;1302207;Juruá (AM);301;261;2739;181;177;4324;101;99;2228;135;133;1275;133;128;1030
MU;1302306;Jutaí (AM);2017;1961;13260;2146;1950;14889;1490;1473;12597;1399;1399;12440;1341;1337;11671
MU;1302405;Lábrea (AM);1357;1287;11293;1079;1003;9615;1037;1032;8561;1072;1043;9544;702;444;8748
MU;1302504;Manacapuru (AM);23639;23639;245716;23375;22312;234163;16208;16124;268930;21792;21751;406607;16456;16416;348345
MU;1302553;Manaquiri (AM);647;642;11580;1813;1798;24748;1555;1540;20385;1587;1587;20500;1612;1612;25881
MU;1302603;Manaus (AM);620;601;10617;670;551;13207;859;627;19560;890;876;25198;580;579;15572
MU;1302702;Manicoré (AM);12607;9717;87270;10263;10185;91947;9905;9863;100330;10499;10122;97841;10130;10009;94737
MU;1302801;Maraã (AM);670;669;9486;680;674;8885;4194;3941;32001;4073;4073;33358;89;89;2685
MU;1302900;Maués (AM);7344;7341;34538;6244;6220;25020;4589;4479;15901;3941;3941;15166;4226;4185;13582
MU;1303007;Nhamundá (AM);1030;1024;3588;879;879;3039;811;811;5890;793;793;5356;775;765;4898
MU;1303106;Nova Olinda do Norte (AM);2147;1911;12313;2038;1885;13239;1942;1757;13419;1921;1798;14819;1901;1893;12980
MU;1303205;Novo Airão (AM);507;503;4282;484;484;2971;257;232;3041;458;458;3715;52;52;764
MU;1303304;Novo Aripuanã (AM);1052;542;5538;784;636;7025;1037;833;16328;1670;1591;17286;1873;1863;23401
MU;1303403;Parintins (AM);6446;6430;34415;2955;2955;17257;1895;1895;12856;1204;1189;8588;1225;1216;7329
MU;1303502;Pauini (AM);1721;1710;23679;904;890;18405;748;743;14230;965;960;15785;1138;1136;11238
MU;1303536;Presidente Figueiredo (AM);9759;9735;155332;8780;8627;154294;6887;6536;100938;5922;5823;82952;6640;6640;118863
MU;1303569;Rio Preto da Eva (AM);3902;3092;55789;4140;4139;92974;3685;3385;90278;3288;3288;52118;3244;2856;41573
MU;1303601;Santa Isabel do Rio Negro (AM);985;875;10038;1509;1502;24282;705;325;8911;257;257;3837;89;86;1678
MU;1303700;Santo Antônio do Içá (AM);734;729;5906;451;426;5128;498;470;5986;407;407;4181;214;206;4291
MU;1303809;São Gabriel da Cachoeira (AM);50;38;1164;442;442;3077;510;509;10479;17;17;388;123;120;1483
MU;1303908;São Paulo de Olivença (AM);205;203;607;176;176;2903;500;500;5672;470;467;5894;245;245;5096
MU;1303957;São Sebastião do Uatumã (AM);801;801;9843;294;271;4410;1111;1111;7815;1117;1117;7646;1130;1110;13892
MU;1304005;Silves (AM);150;150;2488;1264;1247;24810;1209;1206;14051;1192;1189;13850;1352;937;13334
MU;1304062;Tabatinga (AM);180;180;1386;475;475;9154;491;491;10000;147;139;2967;143;139;3438
MU;1304104;Tapauá (AM);4140;4140;40250;3099;3099;40084;3209;3209;44202;4234;4234;65376;2663;2661;39154
MU;1304203;Tefé (AM);12821;10787;94945;5610;5508;47394;8609;8597;75163;8903;8893;81529;9026;8981;87697
MU;1304237;Tonantins (AM);305;242;4158;366;324;9443;275;262;6774;259;176;2620;388;344;8783
MU;1304260;Uarini (AM);3062;2060;17691;3560;3057;24999;6097;6097;63664;6322;6322;71905;6395;6368;66304
MU;1304302;Urucará (AM);1445;1414;17864;1009;1004;9911;1204;1204;20285;1205;1205;19401;1141;1141;16337
MU;1304401;Urucurituba (AM);380;308;4122;256;250;2719;31;27;583;57;56;853;334;326;3739
MU;1400027;Amajari (RR);502;502;6534;1174;1174;10681;1793;1793;13427;1605;1561;8981;1584;1544;8053
MU;1400050;Alto Alegre (RR);8517;8280;33662;12558;12558;51894;12615;12615;64356;10421;10421;82877;17450;17450;72654
MU;1400100;Boa Vista (RR);9374;9324;30075;11205;11155;42446;8400;8350;43801;8814;8794;59424;10896;10896;58217
MU;1400159;Bonfim (RR);13877;13869;51237;12251;12251;88416;16349;16349;97045;16084;15537;86349;21109;21109;96022
MU;1400175;Cantá (RR);3676;3676;26605;2775;2775;22951;2522;2522;21505;2609;2608;18062;3008;2933;21074
MU;1400209;Caracaraí (RR);3067;2597;32623;3871;3615;50050;1785;1697;18203;1309;1225;10202;1010;1010;10196
MU;1400233;Caroebe (RR);5426;5026;52414;5453;5453;78685;5113;4208;65099;3367;3367;74452;3425;3425;33092
MU;1400282;Iracema (RR);1519;1519;7440;1630;1533;8186;1500;1220;8637;1257;963;11475;3414;3364;15766
MU;1400308;Mucajaí (RR);3136;3136;13047;2356;2338;12687;2065;2065;15954;2593;2554;28280;3691;3691;17547
MU;1400407;Normandia (RR);2439;2439;16178;1716;1716;17534;2255;2255;17804;3288;3277;27083;3617;3617;22648
MU;1400456;Pacaraima (RR);1058;1058;9118;1114;1114;9330;1531;1507;13458;798;798;9330;821;821;8928
MU;1400472;Rorainópolis (RR);3915;3915;47022;4646;4646;44260;2891;2385;25173;2340;2334;22284;2607;2607;21832
MU;1400506;São João da Baliza (RR);1639;1629;23978;1829;1829;24156;2004;1660;20095;1381;1381;17342;1351;1351;14117
MU;1400605;São Luiz (RR);1264;1212;15817;1435;1435;12665;1410;1000;11020;924;924;8462;964;964;9370
MU;1400704;Uiramutã (RR);1041;1041;16545;1521;1521;66473;1888;1836;65831;1608;1608;65191;1033;1033;10641
MU;1500107;Abaetetuba (PA);5465;5465;16186;24965;24965;981150;24480;24480;269965;25200;25200;283728;24480;24480;294254
MU;1500131;Abel Figueiredo (PA);1185;1185;4316;890;890;1538;1158;1158;4232;1184;1184;4168;1213;1213;3385
MU;1500206;Acará (PA);38355;38355;147902;42818;42818;223996;40077;40077;296359;41637;41637;342851;44171;44141;349332
MU;1500305;Afuá (PA);...;...;...;...;...;...;140;140;1132;140;140;958;140;140;1099
MU;1500347;Água Azul do Norte (PA);4661;4641;15098;4698;4668;15903;4687;4687;20310;5083;5083;22630;5274;5274;22211
MU;1500404;Alenquer (PA);17424;17424;97925;17767;17767;77196;13797;13797;118272;16651;16651;102428;14259;14259;82270
MU;1500503;Almeirim (PA);641;641;5885;850;850;14751;1057;1057;11891;751;741;12004;744;744;7680
MU;1500602;Altamira (PA);20004;20004;108229;23607;23607;129524;19179;19179;123318;18544;18544;113132;18544;18544;120584
MU;1500701;Anajás (PA);211;211;445;243;243;2647;240;240;2681;267;267;4036;2664;2664;49131
MU;1500800;Ananindeua (PA);112;112;482;12;12;120;12;12;216;56;56;866;38;38;320
MU;1500859;Anapu (PA);8217;8217;46643;7090;7089;57231;7459;7459;44582;7609;7609;52391;7609;7609;66096
MU;1500909;Augusto Corrêa (PA);5858;5858;19590;6483;6483;25127;6347;6347;28699;6385;6385;24489;3340;3340;9452
MU;1500958;Aurora do Pará (PA);8535;8535;54844;9615;9615;87333;4305;4305;68793;4440;4440;45451;4567;4567;40489
MU;1501006;Aveiro (PA);2635;2635;9254;3022;3022;13485;3409;3409;23580;3985;3985;33710;2970;2970;11368
MU;1501105;Bagre (PA);80;80;173;221;221;5561;154;154;2768;191;191;4417;2328;2328;47528
MU;1501204;Baião (PA);2140;2140;29972;2900;2630;53184;2494;2454;56604;2460;2420;56948;2390;2350;16907
MU;1501253;Bannach (PA);298;298;705;583;573;881;141;136;403;227;227;1028;169;169;907
MU;1501303;Barcarena (PA);3260;3260;11207;8460;8460;269151;11540;11540;151552;14996;14996;208647;11612;11612;161041
MU;1501402;Belém (PA);100;100;336;...;...;...;...;...;...;1311;1311;7616;150;150;1375
MU;1501451;Belterra (PA);30644;30644;125116;24464;24464;67735;22696;22696;69749;28350;28350;72043;23322;23322;66898
MU;1501501;Benevides (PA);...;...;...;...;...;...;...;...;...;151;151;2324;150;150;2520
MU;1501576;Bom Jesus do Tocantins (PA);2515;2515;7823;2715;2715;9798;3059;3059;11829;3409;3409;11719;3217;3217;10064
MU;1501600;Bonito (PA);5065;5065;20817;5065;5065;25466;10625;10560;18845;11290;11290;56570;9580;9565;65031
MU;1501709;Bragança (PA);13343;13343;54215;13613;13610;43278;6780;6780;43291;6868;6865;37861;6746;6746;24578
MU;1501725;Brasil Novo (PA);6526;6526;34888;6536;6536;36507;6864;6864;46110;6839;6839;48207;7954;7954;66278
MU;1501758;Brejo Grande do Araguaia (PA);1320;1320;7588;1885;1885;8101;1255;1255;16925;1365;1365;22734;1365;1365;11120
MU;1501782;Breu Branco (PA);7177;7177;28500;7757;7757;38257;7597;7597;65274;8267;8267;43037;1792;1792;23382
MU;1501808;Breves (PA);365;365;620;303;303;4912;1001;1001;9585;6433;6433;40476;6532;6532;155868
MU;1501907;Bujaru (PA);2068;2068;17508;9775;9775;117209;8567;8567;123712;8677;8677;160423;8775;8675;130185
MU;1501956;Cachoeira do Piriá (PA);3850;3850;16569;3733;3731;15917;1878;1848;15655;3124;3124;27138;3144;3144;15920
MU;1502004;Cachoeira do Arari (PA);3710;3660;18800;5370;5370;27320;5460;5460;41534;5460;5460;14061;6560;6560;22570
MU;1502103;Cametá (PA);14550;13778;48263;30740;30740;402639;33054;33054;221116;35264;35264;515396;35540;35540;243118
MU;1502152;Canaã dos Carajás (PA);3467;3467;18667;3999;3999;17055;4319;4319;26144;5676;5676;32872;6203;6203;27512
MU;1502202;Capanema (PA);4089;4089;16120;4062;4062;16601;5133;5128;30467;4476;4476;19515;3876;3876;20403
MU;1502301;Capitão Poço (PA);17065;17065;131865;17075;17075;188660;16560;16418;178053;22370;22370;222838;20555;20555;137584
MU;1502400;Castanhal (PA);7227;7227;56647;13030;13030;101314;12540;12540;108880;7462;7462;52799;7795;7795;71711
MU;1502509;Chaves (PA);...;...;...;...;...;...;70;70;283;70;70;262;70;70;262
MU;1502608;Colares (PA);413;413;860;375;375;898;338;338;1219;415;415;1229;415;415;1676
MU;1502707;Conceição do Araguaia (PA);3115;3115;16117;3000;3000;26648;4355;4355;24097;4320;3900;23683;5287;5287;36508
MU;1502756;Concórdia do Pará (PA);25457;25457;95428;23804;23804;137208;23895;23895;107907;27852;27852;128727;25094;25094;117457
