Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Altônia (PR);5422;15094;10961;9,58;9,59;10,16;17,52;17,35;21,32;6,35;30,21;45,93;994,65;;;
Alto Paraguai (MT);3683;6383;3380;5,87;6,03;6,68;20,17;18,15;22;2,82;56,34;20,67;1186,35;;;
Alto Paraíso de Goiás (GO);1666;5219;3523;12,8;13,54;14,26;23,33;27,8;32,15;6,54;23,69;46,45;986,5;;;
Alto Paraíso (PR);1434;1772;1128;16,18;15,12;18,22;45,78;44,22;48,69;5,93;29,35;18,94;1206,23;;;
Alto Paraíso (RO);8933;8202;8045;9,24;9,22;9,27;23,93;24,32;27,27;10,31;42,32;23,43;1112,67;;;
Alto Paraná (PR);2442;11221;6216;15,03;13,2;12,27;37,16;36,58;31,41;12,69;18,26;31,89;1174,72;;;
Alto Parnaíba (MA);3738;7028;3772;20,59;20,49;11,18;63,71;61,3;46,63;7,84;10,7;17,74;1123,2;;;
Alto Piquiri (PR);1803;8376;4538;16,52;16,97;16,38;37,6;35,79;34,15;5,93;17,69;38,79;1147,34;;;
Alto Rio Doce (MG);7089;5070;4871;6,87;7,21;7,54;26,95;28,02;29,16;8,1;36,85;28,11;906,54;;;
Alto Rio Novo (ES);3061;4256;3125;7,5;7,36;7,11;18,82;16,48;16,54;6,54;46,01;28,64;856,23;;;
Alto Santo (CE);8318;8041;6267;5,87;5,54;5,24;24,65;26,97;24,29;6,93;38,88;29,54;641,53;;;
Altos (PI);11434;27388;15600;5,8;5,49;5,78;2,52;2,4;2,45;14,4;43,98;39,1;1048,8;;;
Alto Taquari (MT);749;7323;4136;75,02;70,42;69,21;44,76;45,58;46,63;12,95;6,36;35,94;1859,39;;;
Alumínio (SP);2716;14123;7782;67,14;72,14;65,99;0,07;0,06;0,14;63,15;6,07;30,71;2577,03;;;
Alvarães (AM);6201;7887;3413;5,52;4,75;6,24;17,01;18,81;42,72;13,57;53,98;15,44;929,38;;;
Alvarenga (MG);2325;2119;1489;5,9;5,97;5,88;20,21;17,44;20,83;4,62;49,7;25,46;819,74;;;
Álvares Florence (SP);1249;2648;1830;17,54;16,48;16,49;40,16;38,35;48,74;12,67;21,29;25,88;1142,42;;;
Álvares Machado (SP);2330;21183;11689;12,82;12,3;12,63;6,98;5,43;5,92;19,13;22,97;50,92;1296,72;;;
Álvaro de Carvalho (SP);1698;2952;1522;6,27;6,77;6,49;10,93;20,05;22,86;5,77;46,2;37,1;1166,51;;;
Alvinlândia (SP);307;2693;1379;10,28;9,66;9,84;23,6;19,96;22,01;6,83;33,93;35,64;1199,03;;;
Alvinópolis (MG);3828;11433;6718;11,38;10,86;11,43;5,48;6,09;9,56;30,73;25,17;38,61;961,29;;;
Alvorada de Minas (MG);2096;1450;1186;14,7;9,93;8,55;15,53;14,58;14,66;7,28;52,54;24,64;1127,64;;;
Alvorada D'Oeste (RO);8029;8824;7007;9,39;9,33;9,57;32,84;33,82;34,87;4,66;41,74;20,76;842,54;;;
Alvorada do Gurguéia (PI);3201;1849;1479;8,53;8,13;6,55;36,83;35,1;27,49;4,28;37,09;21,8;1100,43;;;
Alvorada do Norte (GO);1211;6873;3838;9,7;9,19;8,7;13,35;13,93;14,67;7,64;30,13;48,89;1058,78;;;
Alvorada do Sul (PR);2945;7338;4648;12,96;14,65;14,56;27,58;31,12;31,67;5,69;23,85;42,89;1115,89;;;
Alvorada (RS);;195673;94598;8,37;8,18;8,08;0,07;0,06;0,06;18,67;34,66;46,6;1393,31;;;
Alvorada (TO);609;7765;3932;20,99;19,61;21,1;29,56;25,67;20,36;18,03;19,39;33,02;1048,37;;;
Amajari (RR);8108;1219;1756;7,78;8,08;8,19;19,28;23,67;23,61;0,97;72,45;7,3;545,87;;;
Amambai (MS);12355;22375;14805;14,99;15,09;15,32;26,6;28,8;27,96;7,35;26,34;39,71;1115,25;;;
Amapá (AP);1110;6959;3029;15,35;11,04;10,97;15,73;17,95;16,32;2,27;42,16;39,83;1060,28;;;
Amapá do Maranhão (MA);1590;4841;2142;4,14;4,16;4,72;18,13;18,32;18,77;4,05;48,1;29,72;1080,59;;;
Amaporã (PR);1113;4330;2505;10,4;10,91;11,33;36,46;34,74;35,86;5,2;29,8;28,54;1195,73;;;
Amaraji (PE);5894;16045;8048;5,69;5,4;5,48;15,41;16,01;19,35;4,68;49,03;30,88;840,47;;;
Amaral Ferrador (RS);4487;1866;3327;8,74;9,19;10,74;37,37;41,95;50,18;3,75;37,56;21,32;1020,88;;;
Amaralina (GO);2333;1101;1306;9,69;9,37;9,1;48,41;52,09;50,15;3,02;33,68;14,88;1037,07;;;
Amarante do Maranhão (MA);22928;15004;12853;4,43;4,5;4,65;30,35;30,09;28,28;3,34;42,89;23,42;718,01;;;
Amarante (PI);8363;8772;6403;5,08;4,81;4,78;9,55;8,55;6,81;5,82;50,13;34,49;949,42;;;
Amargosa (BA);9460;24891;15541;6,17;6,02;5,9;7,71;8,24;10,19;12,46;33,55;46,27;877,86;;;
Amaturá (AM);4507;4960;2173;4,71;4,42;3,98;14,7;14,44;9,7;4,13;65,12;16,04;964,75;;;
Amélia Rodrigues (BA);5233;19957;11044;7,84;7,22;7,05;11,75;11,12;10,54;11,97;28,51;47,77;1172,24;;;
América Dourada (BA);5129;10832;5721;4,12;4,42;4,78;16,29;19,34;25,83;7,07;51,88;24,76;1149,59;;;
Americana (SP);984;209654;115163;35,74;31,11;29,49;0,12;0,12;0,12;29,3;10,66;59,92;1717,7;;;
Americano do Brasil (GO);790;4718;2550;7,87;8,96;9,1;18,17;28,93;39,65;15,62;36,54;29,67;984,84;;;
Américo Brasiliense (SP);261;34217;17755;14,58;14,35;14,37;3,07;2,09;2,62;33,35;18,85;44,73;1508,45;;;
