Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
São Bentinho (PB);1293;2845;1429;5,82;6,05;6,11;6,95;6,46;6,32;6,92;63,44;22,69;635,71;;;
São Bento Abade (MG);339;4238;2332;9,34;8,26;9,09;31,17;21,02;31,94;7,83;29,55;31,45;1034,32;;;
São Bento do Norte (RN);1937;1038;917;11,73;19,02;38,07;35,71;18,72;7,42;2,65;44,33;17,31;962,08;;;
São Bento do Sapucaí (SP);5428;5040;5110;12,1;11,49;10,9;21,94;18,02;17,9;6,22;21,88;49,95;1044,7;;;
São Bento do Sul (SC);3567;71234;40363;30,81;25,23;21,49;1,78;2,04;2,3;49,61;11,37;37,23;1515,51;;;
São Bento do Tocantins (TO);1892;2716;1671;6,03;6,1;6,2;14,37;15,63;17,18;3,42;64,9;17,32;1026,75;;;
São Bento do Trairí (RN);2021;1884;1078;5,12;5,08;5,06;2,25;2,38;2,43;3,85;77,48;16,41;870,62;;;
São Bento do Una (PE);25343;27899;20463;10,14;10,48;10,95;53,13;57,33;59,07;2,94;25,94;17,99;945,82;;;
São Bento (MA);17228;23508;14839;3,71;3,67;6,36;8,44;6,25;3,49;5,23;47,11;39,23;937,2;;;
São Bento (PB);5839;25040;14318;7,34;7,44;7,63;2,49;2,47;2,2;11,2;41,98;44,33;971,93;;;
São Bernardino (SC);1958;719;1343;14,87;14,16;15,63;36,9;37,49;41,07;15,21;27,26;20,62;1152,18;;;
São Bernardo do Campo (SP);12805;752658;402302;46,04;37,13;34,02;0,02;0,02;0,02;33,55;7,25;59,18;2365,55;;;
São Bernardo (MA);14676;11800;8263;6,58;5,97;6,26;24,07;20,83;20,18;5,96;27,28;42,7;863,64;;;
São Bonifácio (SC);2323;685;1924;13,5;12,29;12,6;24,94;28;28,47;14,09;27,07;33,9;1213,58;;;
São Borja (RS);6533;55138;27631;18,78;18,49;17,75;20,59;21,51;21,73;13,75;17,36;48,3;1284,59;;;
São Brás (AL);3535;3183;1995;5,36;5,54;6,04;29,36;30,26;36,96;3,98;50,34;16,32;998,35;;;
São Brás do Suaçuí (MG);384;3129;1375;16,37;12,8;10,51;5,52;5,46;8,19;6,45;27,87;60,16;1307,08;;;
São Braz do Piauí (PI);3292;1021;1586;3,97;4,41;4,14;3,79;8,41;5,87;3,41;70,07;22,73;1281,84;;;
São Caetano de Odivelas (PA);9933;6958;6207;4,83;4,73;4,6;29,42;29,2;27,99;3,49;49,82;17,27;879,89;;;
São Caetano do Sul (SP);;149263;81484;77,78;61,34;55,54;0;0;0;31,7;8,79;59,52;2066,16;;;
São Caitano (PE);8195;27079;15189;6,52;6,23;5,8;4,55;7,61;5,8;7,49;41,31;46,64;837,05;;;
São Carlos do Ivaí (PR);675;5679;3053;26,3;25,16;26,06;17,76;14,71;15,84;42,81;12,7;26,73;1598,6;;;
São Carlos (SC);3389;6902;6239;19,28;17,73;17,52;22,16;22,9;21,11;26,73;16,2;34,91;1174,64;;;
São Carlos (SP);8889;213061;117551;31,51;29,75;27,41;1,49;1,38;1,7;36,34;10,07;52,11;1981,34;;;
São Cristovão do Sul (SC);1212;3800;1910;16,71;15,56;14,45;22,01;16,14;8,45;21,61;21,99;34,38;1214,31;;;
São Cristóvão (SE);12199;66665;35180;7,17;7,07;6,75;4,47;3,42;3,4;24,27;40,77;30,49;903,42;;;
São Desidério (BA);19026;8633;10362;61,93;60,09;29,58;68,65;67,56;58,09;7,46;4,64;19,24;1413,7;;;
São Domingos (BA);3310;5916;4688;4,57;4,93;4,63;11,02;17,93;10,36;9,12;49,91;29,94;964,52;;;
São Domingos das Dores (MG);2830;2578;1907;7,72;7,66;9,98;30,7;26,65;27,5;6,25;38,4;24,65;909,97;;;
São Domingos do Araguaia (PA);7876;15254;8562;5,76;6,5;6,75;21,57;24,74;25,1;6,94;40,93;30,55;974,1;;;
São Domingos do Azeitão (MA);2022;4961;1919;16,99;15,56;10,1;42,24;43,78;29,53;10,95;13;33,81;895,9;;;
São Domingos do Capim (PA);23257;6589;10240;5,9;5,8;6,83;41,94;41,48;48,1;4,69;38,16;15,21;1043,54;;;
São Domingos do Cariri (PB);1386;1034;1027;5,77;5,86;5,72;8,22;9,69;9,66;3,64;68,79;19,35;1175,92;;;
São Domingos do Maranhão (MA);16294;17313;11284;5,6;5,73;5,11;20,15;23,29;13,12;5,77;35,7;38,37;941,93;;;
São Domingos do Norte (ES);4564;3437;3921;16,33;16,31;17,17;16,75;14,03;7,74;29,1;23,66;30,49;1287,69;;;
São Domingos do Prata (MG);6852;10505;7972;8,8;7,7;8,49;10,23;9,46;11,42;11,36;31,35;47,05;941,42;;;
São Domingos do Sul (RS);1178;1748;1707;14,28;14;12,98;36,39;34,48;34,2;12,7;27,57;23,35;996,21;;;
São Domingos (GO);5498;5774;3454;8,15;8,44;7,85;23,32;21,89;22,59;20,27;30,16;26,25;1235,51;;;
São Domingos (PB);1861;994;1138;5,54;5,42;5,49;8,47;9,2;10,5;3,06;70,67;17,8;987,54;;;
São Domingos (SC);3178;6313;5071;20,47;21,25;22,79;31,35;28,79;32,75;16,1;15,07;37,48;1141,32;;;
São Domingos (SE);5124;5147;4906;7,01;6,68;6,02;9,86;8,98;8,55;19,5;50,2;20,44;892,22;;;
São Felipe (BA);10485;9820;8817;5,99;5,78;5,52;19,42;19,18;19,63;6,94;38,81;34,83;852,59;;;
São Felipe D'Oeste (RO);4574;1444;2633;9,44;9,27;9,31;38,6;38,95;38,68;3,31;44,4;13,69;1027,64;;;
São Félix (BA);4833;9265;6485;7,76;7,76;7,44;24,13;23,83;27,39;6,41;32,43;37,03;1022,75;;;
São Félix de Balsas (MA);3074;1628;1291;5,86;5,8;5,74;36,77;36,17;29,6;5,66;39,99;17,58;1029,72;;;
São Félix de Minas (MG);1293;2089;1259;6,82;6,28;6,91;17,77;15,33;14,87;7,67;50,11;24,45;739,4;;;
São Félix do Araguaia (MT);4447;6178;4210;25,12;30,51;36,5;52,77;55,53;59,92;3,75;15,58;27,9;1637,79;;;
São Félix do Coribe (BA);2461;10587;5219;6,75;6,41;6,77;25,26;25,76;28,43;7,67;32,38;34,69;894,94;;;
São Félix do Piauí (PI);1428;1641;1258;5,37;5,22;5,22;11;10,45;9,95;5,04;60,7;23,25;815,05;;;
São Félix do Tocantins (TO);506;931;294;7,27;7,01;7,64;13,63;12,05;16,48;4,43;66,46;15,49;825,19;;;
São Félix do Xingu (PA);46227;45113;33187;7,26;7,54;7,78;42,59;44,18;48,09;9,98;27,81;19,62;1163,05;;;
São Fernando (RN);1104;2297;1148;9,51;10,04;8,73;15,95;17,48;15,9;13,77;44,57;25,71;944,14;;;
São Fidélis (RJ);7864;29679;16059;14,13;13,73;12,88;9,33;9,36;10,59;20,82;35,41;34,44;1040,84;;;
São Francisco de Assis do Piauí (PI);4138;1429;2206;4,38;4,42;4,38;9,41;10,1;6,99;5,2;64,28;21,1;963,4;;;
São Francisco de Assis (RS);5759;13495;9145;13,63;13,77;14,98;36,84;36,16;40,86;4,61;23,66;34,89;1214,77;;;
São Francisco de Goiás (GO);1656;4464;3001;11,23;10,44;9,71;16,2;17,58;20,28;11,85;28,55;43,4;977,74;;;
São Francisco de Itabapoana (RJ);20262;21092;17018;19,09;15,91;15,42;22,48;24,76;22,2;9,06;29,73;38,72;1018,54;;;
São Francisco de Paula (MG);1832;4651;3232;9,22;9,27;10,01;22,63;23,12;31,15;6,99;31,8;38,58;974,81;;;
São Francisco de Paula (RS);7533;13004;10240;16,68;17,64;19,23;38,69;40,84;46,96;9,13;19,55;32,63;1224,64;;;
São Francisco de Sales (MG);1444;4332;2636;15,49;14,16;15,31;41,57;40,05;45,82;6,87;22,55;29,01;1048,56;;;
São Francisco do Brejão (MA);5425;4836;3186;5,21;5,35;5,46;34,51;33,54;30,28;4,5;39,56;21,42;1134,84;;;
São Francisco do Conde (BA);5792;27391;15513;58,43;158,67;196,83;0,9;0,17;0,14;-154,98;30,53;223,54;3322,3;;;
São Francisco do Glória (MG);2046;3132;2392;7,5;7,19;7,85;20,53;22,9;26,12;4,62;43,02;31,83;919,49;;;
São Francisco do Guaporé (RO);7808;8227;7288;11,26;11,14;10,94;39,05;41,67;40,72;4,98;35,24;20,74;997,11;;;
São Francisco do Maranhão (MA);8042;4104;4073;3,77;3,55;3,41;21,91;23,28;21,23;5,64;51,48;20,97;999,79;;;
São Francisco do Oeste (RN);926;2948;1566;5,75;5,61;5,9;5,39;4,45;4,09;7,79;65,66;21,15;715,08;;;
São Francisco do Pará (PA);9947;5113;5303;8,64;7,78;8,4;39,22;35;38,26;4,99;24,97;30,82;1097,4;;;
São Francisco do Piauí (PI);4315;1983;2259;4,91;4,83;4,73;11,86;10,68;10,23;4,13;63,12;20,88;1034,67;;;
São Francisco do Sul (SC);3030;39490;19652;59,04;54,56;48,05;0,67;0,75;0,72;40,19;9,4;49,74;1988,15;;;
São Francisco (MG);19624;34204;20804;5,51;5,55;5,62;8,62;9,22;10,09;6,86;45,27;39,26;979,25;;;
São Francisco (PB);2001;1363;1235;6,05;5,87;5,96;8,3;8,16;8,05;3,82;62,59;25,29;1003,01;;;
São Francisco (SE);1014;2379;1309;6,16;6,12;6,01;8,05;7,27;6,82;4,52;68,9;18,54;924,35;;;
São Francisco (SP);626;2167;1399;9,68;9,87;10,89;28,32;30,23;37,08;5,63;36,92;29,14;1417,58;;;
São Gabriel (BA);7933;10494;7070;4,14;4,1;3,71;8,78;9,99;5,95;6,29;55,98;28,95;781,59;;;
São Gabriel da Cachoeira (AM);18842;19054;10273;4,78;4,46;4,11;7;9,43;9,36;5,2;62,87;24,93;1035,46;;;
São Gabriel da Palha (ES);7534;24325;16705;12,18;11,3;10,06;9,81;7,64;8,07;15,91;25,93;48,35;999,44;;;
São Gabriel do Oeste (MS);2903;19300;11817;38,68;39,78;40,34;28,15;28,82;23,69;14,39;12,59;44,87;1352,7;;;
São Gabriel (RS);6650;53775;27521;16,01;17,3;16,4;22,51;27,16;25,94;9,16;19,32;49;1155,3;;;
São Geraldo da Piedade (MG);3335;1054;1683;5,93;6,19;5,83;18,51;17,03;20,61;3,12;50;28,37;994,45;;;
São Geraldo do Araguaia (PA);11997;13590;9633;9,22;9,18;10,3;33,26;33,35;33,1;6,81;27,21;32,72;994,2;;;
São Geraldo do Baixio (MG);1046;2440;1328;6,64;6,7;6,78;21,56;24,41;24,93;5,1;46,95;26,39;858,73;;;
São Geraldo (MG);2993;7270;4549;9,16;9,27;8,88;5,09;4,38;5,11;40,41;28,55;25,95;982,72;;;
São Gonçalo do Abaeté (MG);2096;4168;2687;19,26;18,73;20,32;26,83;23,65;32,27;9,75;16,86;46,56;1009,64;;;
São Gonçalo do Amarante (CE);15353;28537;17455;24,31;28,3;32,7;4,06;3,88;2,39;46,99;16,97;31,99;1844,29;;;
São Gonçalo do Amarante (RN);13569;74099;36705;13,54;12,72;8,94;1,36;1,62;1,96;36,3;26,48;35,86;1109,32;;;
São Gonçalo do Gurguéia (PI);1606;1219;738;6,37;6,19;4,98;29,54;27,74;15,25;3,36;51,83;15,27;1015,75;;;
São Gonçalo do Pará (MG);2438;7960;5419;11,02;10,25;9,96;7,07;6,07;7,24;35,79;27,62;29,52;946,6;;;
São Gonçalo do Piauí (PI);1446;3308;1197;4,66;4,11;4,18;7,93;9,57;7,25;7,57;61,75;22,76;940,15;;;
São Gonçalo do Rio Abaixo (MG);5128;4649;4292;207,36;122,29;119,07;0,25;0,44;0,43;74,55;3,82;21,39;1532,46;;;
São Gonçalo do Rio Preto (MG);1102;1954;1381;6,44;6,16;6,08;8,63;7,75;6,94;6,03;56,12;29,22;779,91;;;
São Gonçalo do Sapucaí (MG);4164;19742;11268;16,57;15,91;16,56;11,75;9,82;15,51;16,6;16,32;55,33;961,79;;;
São Gonçalo dos Campos (BA);16778;16505;15310;9,73;11,93;13,59;4,57;3,84;3,85;20,8;22,13;52,5;1047,41;;;
São Gonçalo (RJ);729;998999;488127;11,84;11,57;10,77;0,32;0,33;0,35;13,99;37,75;47,93;1276,53;;;
São Gotardo (MG);1758;30061;16264;13,13;13,26;13,77;11,31;11,33;11,88;9,31;21,16;58,22;1244,81;;;
São Jerônimo da Serra (PR);5676;5661;4507;10,13;11,65;11,74;37,36;40,74;41,7;3,92;27,99;30,72;1083,25;;;
São Jerônimo (RS);5079;17055;10683;16,38;16,42;15,94;13,7;10,67;12,53;16,73;19,47;50,11;1462,17;;;
São João Batista do Glória (MG);1280;5607;3421;13,09;12,11;10,89;26,01;25,61;27,41;15,95;26,52;31,51;942,6;;;
São João Batista (MA);14576;5344;5038;3,85;3,65;3,84;13,5;12,64;12,97;4,1;57,68;24,72;1182,76;;;
São João Batista (SC);2709;23551;14982;17,23;15,2;14,74;2,11;1,71;1,53;41;18,05;38,83;1281,82;;;
São João da Baliza (RR);2014;4755;2844;12,4;11,94;12,21;11,99;12,07;11,08;7,54;58,6;21,86;967,22;;;
São João da Barra (RJ);7054;25693;15149;203,13;152,61;74,05;0,5;0,68;1,27;70,29;4,57;24,65;1852,82;;;
São João da Boa Vista (SP);3337;80302;43126;22,64;21,57;20,39;2,75;2,54;3,14;23,01;13,42;60,81;1501,26;;;
São João da Canabrava (PI);3212;1233;1726;4,36;4,36;4,37;5,89;7,7;4,86;4,31;65,63;24,18;703,17;;;
São João da Fronteira (PI);3336;2272;1364;5,41;4,58;4,32;4,28;4,63;4,59;20,36;52,16;23,2;937;;;
São João da Lagoa (MG);2221;2435;2202;6,49;6,08;5,8;35,34;24,9;24,9;2,39;44,33;17,95;779,91;;;
São João D'Aliança (GO);3533;6724;5015;13,7;13,7;15,39;46,51;48,55;50,75;6,35;20,5;26,63;1051,19;;;
São João da Mata (MG);979;1752;1340;10,21;9,1;9,56;28,2;21,63;29,48;5,15;35,12;31,53;961,52;;;
São João da Paraúna (GO);412;1277;747;19,89;18,97;19,85;43,16;46,2;52,67;7,18;27,91;21,74;992,71;;;
São João da Ponta (PA);4234;1031;1911;4,88;4,72;4,55;28,35;29,98;29,66;3,88;52,49;15,28;842,5;;;
São João da Ponte (MG);16702;8656;10581;5,19;5,1;4,93;14,74;10,9;10,93;3,92;51,01;30,33;920,75;;;
São João das Duas Pontes (SP);605;1961;1186;9,36;9,08;9,06;25,97;24,77;26,4;6,6;38,47;28,97;1242,07;;;
São João da Serra (PI);2710;3447;1693;4,65;4,79;4,7;14,52;13,12;12,08;5;57,77;22,71;1154,13;;;
São João das Missões (MG);9269;2446;3772;3,73;3,64;3,62;6,39;5,07;5,63;3,6;66,83;23,18;1042,36;;;
São João da Urtiga (RS);2435;2291;2828;18,91;17;16,76;44,01;39,85;41,05;4,18;17,62;34,18;1097,63;;;
São João da Varjota (PI);3262;1389;1546;3,85;3,73;3,82;8,96;7,56;7,68;3,95;69,9;17,19;837,67;;;
São João de Iracema (SP);328;1452;855;12,32;11,6;10,65;32,34;32,87;29,59;3,97;38,22;25,47;1268,75;;;
São João Del Rei (MG);4612;79857;39011;14,27;13,46;13,54;3,56;2,92;5,64;18,41;18,9;59,13;1455,27;;;
São João de Meriti (RJ);;458673;214483;12,39;14,24;13,57;0,01;0,01;0,01;6,18;37,59;56,21;1120,73;;;
São João de Pirabas (PA);10160;10487;6550;4,62;4,31;4,47;18,34;18,05;20,48;4,83;55,41;21,42;914,16;;;
São João do Araguaia (PA);10569;2586;4153;5,36;5,59;5,69;25,99;27,82;32,8;4,54;54,2;15,27;1023,04;;;
São João do Arraial (PI);3635;3701;2270;3,71;3,69;3,77;4,23;3,99;4,21;3,35;71,17;21,25;983,76;;;
São João do Caiuá (PR);872;5039;2576;11,98;11,88;11,77;37,45;31,2;31,29;10,58;26,43;25,54;1085,58;;;
São João do Cariri (PB);1997;2347;1770;6,49;6,47;6,37;14,73;15,46;15,31;4,11;56,95;24,21;712,04;;;
São João do Carú (MA);5986;6323;3879;4,26;3,88;3,84;29,2;23,68;20,05;4,09;48,41;18,3;1241,32;;;
São João do Itaperiú (SC);1510;1925;1738;28,64;27,05;26,97;20,94;18,77;25,21;39,86;13,36;25,83;1351,49;;;
São João do Ivaí (PR);2651;8874;5420;15,23;15,07;14,51;30,51;27,4;25,78;4,55;19,63;45,32;1043,6;;;
São João do Jaguaribe (CE);4731;3169;3026;7,56;7,68;8,38;39,62;39,24;44,3;3,97;32,94;23,47;732,82;;;
São João do Manhuaçu (MG);5439;4806;4801;9,27;9,7;9,78;22,93;21,38;23,55;18,61;28,94;29,51;868,33;;;
São João do Manteninha (MG);2283;2905;2025;7,79;7,56;7,37;11,94;11,93;12,36;15,04;39,24;33,78;809,54;;;
São João do Oeste (SC);3917;2119;4027;22,76;20,34;21,48;34,22;33,11;36,82;17,36;14,96;33,46;1332,35;;;
São João do Oriente (MG);1549;6325;3087;6,6;6,63;6,61;8,74;7,97;8,99;15,62;39,92;35,72;880,32;;;
São João do Pacuí (MG);2139;1921;1745;5,21;5,25;5,37;19,02;19,9;20,99;3,46;57,58;19,93;752,68;;;
São João do Paraíso (MA);5538;5276;3612;5,98;7,16;9,06;37,67;33,91;27,21;4,11;34,27;23,95;887,77;;;
São João do Paraíso (MG);12084;10235;11046;5,68;5,99;5,35;14,48;21;16,81;7,47;44,86;33,19;722,09;;;
São João do Pau D'Alho (SP);398;1705;1021;13,48;13,4;15,07;36,67;35,76;43,53;3,19;30,88;29,26;1458,61;;;
São João do Piauí (PI);6078;13470;8089;6,28;6,05;6,43;3,82;3,84;3,02;6,37;44,2;45,61;1019,79;;;
São João do Polêsine (RS);1281;1354;1501;19,09;18,85;18,41;19,85;17,69;16,12;9,99;22,1;48,06;1333,01;;;
São João do Rio do Peixe (PB);11316;6885;7033;6,12;6,2;6,23;5,66;6,07;6,11;2,95;54,7;36,69;972,25;;;
São João do Sabugi (RN);1166;4756;2454;5,96;6,02;5,47;14,36;14,55;13,15;2,97;58,74;23,92;896,66;;;
São João do Soter (MA);10592;6646;5546;3,45;3,18;3,45;11,59;8,94;6,42;4,41;63,66;20,34;656,87;;;
São João dos Patos (MA);4361;20567;10963;7,16;6,32;6,74;7,13;8,2;6,33;19,85;27,4;45,62;1066,95;;;
São João do Sul (SC);5430;1572;3768;14,14;13,75;14,53;37,04;32,86;37,23;8,46;21,3;33,2;1201,42;;;
São João do Tigre (PB);2867;1529;1763;4,44;4,57;4,63;8,56;9,1;9,02;1,94;73,1;16,4;1037,31;;;
São João do Triunfo (PR);9656;4048;6518;21,56;21,56;20,44;64,03;62,73;64,89;4,9;12,88;18,19;1318,47;;;
São João Evangelista (MG);5445;10108;5942;7,21;7,2;7,28;10,87;8,76;9,91;7,13;38,27;43,72;872,77;;;
São João Nepomuceno (MG);1222;23835;12631;10,56;9,79;9,49;3,3;3,44;4,13;25,35;25,23;46,12;889,65;;;
São João (PE);11656;9656;8683;5,62;5,17;5,93;17,04;15,61;20,76;4;50,01;28,95;870,14;;;
São João (PR);3864;6735;5306;35,13;37,78;40,71;19,29;20,52;20,46;30,4;9,03;41,28;1173,76;;;
São Joaquim da Barra (SP);834;45678;23146;21,58;19,74;19,24;4,35;3,8;5,12;32,38;12,81;50,47;1888,85;;;
São Joaquim de Bicas (MG);6938;18599;10894;14,64;12,87;12,71;8,33;8,87;11,31;32,17;22,01;37,5;1368,64;;;
São Joaquim do Monte (PE);6366;14122;6587;4,92;4,88;4,79;11,27;14,24;14,18;3,48;56,71;28,54;1001,77;;;
São Joaquim (SC);7239;17573;12272;20,33;18,42;22,12;38,29;31,39;43,35;6,78;13,84;41,08;1086,47;;;
São Jorge D'Oeste (PR);3871;5214;4921;17,21;17,63;18,21;41,34;39,37;42,79;8,44;19,51;30,72;1190,25;;;
São Jorge do Ivaí (PR);736;4781;2848;30,35;32,38;30,66;45,63;44,52;43,9;3,73;10,84;39,8;1174,8;;;
São Jorge do Patrocínio (PR);2502;3539;3397;14,14;12,68;12,18;22,3;24,05;27,71;14,73;25,68;37,29;1073,17;;;
São Jorge (RS);1323;1451;1740;19,03;18,68;19,1;44,83;43,05;45,52;7,58;19,52;28,07;1206,44;;;
São José da Barra (MG);1884;4894;3074;34,49;36,24;51,06;8,98;6,27;5,12;69,45;8,64;12,94;2481,71;;;
São José da Bela Vista (SP);921;7485;3917;10,4;9,41;11,31;32,82;29,52;40,23;3,65;27,06;36,47;1014,68;;;
São José da Boa Vista (PR);2647;3864;3058;12,24;13,82;15,53;52,06;52,44;57,39;5,59;23,97;18,39;897,04;;;
São José da Coroa Grande (PE);4744;13436;6055;8,07;6,36;6,21;9,31;5,46;5,59;4,66;35,29;50,73;882,42;;;
São José da Lagoa Tapada (PB);4249;3315;2538;5;4,91;4,75;7,07;7,5;7,86;4,91;62,84;25,17;806,42;;;
São José da Laje (AL);7295;15391;7092;8,95;9,48;6,93;25,08;28,52;38,12;25,85;29,31;19,76;944,49;;;
São José da Lapa (MG);8399;11400;9543;17,16;14,52;13,54;2,37;2,85;2,48;47,86;19,14;30,63;1715,78;;;
São José da Safira (MG);1130;2945;1651;6,96;6,1;5,95;15,23;10,28;9,35;4,73;49,19;30,85;896,59;;;
São José das Missões (RS);1892;828;1454;13,69;13,43;13,9;41,69;41,21;42,42;3,47;29,73;25,11;1390,21;;;
São José das Palmeiras (PR);1419;2411;1839;12,99;13,21;14,23;44,93;44,84;45,77;5,61;25,42;24,04;1064,25;;;
São José da Tapera (AL);18451;11637;10110;5,84;4,29;4,64;5,83;9,04;8,05;28,54;42,53;23,1;1362,75;;;
São José da Varginha (MG);1826;2372;2033;13,67;12,26;11,98;56,32;53,7;53,73;2,86;22,94;17,89;885,74;;;
São José da Vitória (BA);553;5162;1966;5,15;5,29;5,3;12,7;12,44;11,87;5,82;49,96;31,51;869,52;;;
São José de Caiana (PB);3281;2729;2008;4,67;4,45;4,26;8,71;9,03;8,88;5,67;68,03;17,6;934,86;;;
São José de Espinharas (PB);3143;1617;1519;6,57;5,69;8,72;13,78;16,7;11,63;12,71;57,06;16,45;1654,48;;;
São José de Mipibu (RN);21544;18232;13822;11,94;11,39;10,16;6,08;5,07;5,64;22,39;31,24;40,29;996,77;;;
São José de Piranhas (PB);8301;10795;6903;6,58;6,57;5,78;7,71;7,86;7,8;5,46;52,74;34,1;1055,15;;;
São José de Princesa (PB);3524;695;1297;4,54;4,48;4,65;12,66;11,7;14,85;1,82;72,82;12,71;574,33;;;
São José de Ribamar (MA);125336;37709;69608;7,23;7,09;7,18;1,2;1,32;1,03;16,31;25,24;57,26;1045,25;;;
São José de Ubá (RJ);3905;3098;3199;18,51;17,93;16,83;31,39;29,05;25,79;8,72;33,17;26,72;1055,56;;;
São José do Alegre (MG);1095;2901;1957;6,8;6,93;6,2;15,12;12,57;15,14;4,87;44,67;35,34;1070,46;;;
São José do Barreiro (SP);1208;2869;1847;8,2;7,74;7,7;19,74;15,06;16,95;3,71;44;32,56;1052,95;;;
São José do Belmonte (PE);16449;16168;12036;5,33;4,73;4,85;5,98;5,52;6,33;8,15;49,77;36,1;888,15;;;
São José do Bonfim (PB);1872;1361;1015;4,51;4,28;4,57;5,32;4,75;5,21;3,21;73,1;18,37;1191,65;;;
São José do Brejo do Cruz (PB);726;958;624;7,14;6,98;7,21;10,77;11,65;11,79;2,55;66,99;19,69;669,91;;;
São José do Calçado (ES);2058;8350;4858;8,37;8,83;10,59;10,8;9,72;10,85;11,53;40,52;37,15;1046,5;;;
São José do Campestre (RN);2084;10272;4214;4,71;4,67;4,59;2,49;2,52;2,58;3,4;72,66;21,45;1210,82;;;
São José do Cedro (SC);5237;8447;7781;18,1;16,79;18,43;20,53;20,18;23,34;20,77;16,74;41,96;1020,97;;;
São José do Cerrito (SC);6781;2492;4225;20,19;16,27;20,92;14,63;21,84;31,3;59,22;14,05;12,09;1109,99;;;
São José do Divino (MG);1109;2725;1549;6,61;6,36;6,62;20,21;19,96;18,71;4,27;47,81;27,71;1141,34;;;
São José do Divino (PI);2438;2710;2337;5,68;5,26;5,36;23,86;20,32;20,49;3,96;51,56;20,62;889,17;;;
São José do Egito (PE);10869;20960;13417;7,08;6,46;5,91;13,26;12,61;14,15;12,52;37,88;36,34;921,64;;;
São José do Goiabal (MG);1947;3689;2380;6,37;6,05;6,11;17,43;15,29;19,07;5,01;45,68;31,88;850,73;;;
São José do Herval (RS);1337;867;874;15,74;14,16;14,9;40,28;30,76;35,66;4,75;29,4;25,56;1257,55;;;
São José do Hortêncio (RS);1449;2645;2489;21,21;19,76;18,99;10,98;12,01;12,66;43,47;16,57;28,97;1267,22;;;
São José do Inhacorá (RS);1368;832;1427;25,79;23,61;24,42;36,66;38,97;42,72;18,75;19,17;25,42;1292,75;;;
São José do Jacuípe (BA);3189;6991;4179;4,74;4,88;4,85;14,51;17,23;17,57;5,46;47,85;32,18;1015,44;;;
São José do Jacuri (MG);4547;2006;2590;6,78;6,47;6,32;25,46;23,02;22,74;10,19;41,24;23,11;812,39;;;
São José do Mantimento (MG);1143;1449;1071;7,31;7,04;6,9;18,57;17,71;17,31;5;48,07;28,36;826,25;;;
São José do Norte (RS);8120;17383;11625;9,35;9,41;9,49;17,96;17,44;23,5;9,35;35,59;37,1;1844,65;;;
São José do Ouro (RS);2481;4423;3894;28,51;24,55;25,04;28,38;32,32;37,16;7,42;11,27;52,92;1367,93;;;
São José do Peixe (PI);1811;1889;1090;5,53;5,51;5,58;12,76;10,54;11,36;4,59;59,25;23,4;1218,19;;;
São José do Piauí (PI);4662;1929;3347;4,64;4,87;4,57;8,54;14,39;9,32;5,21;57,65;28,61;831,54;;;
São José do Povo (MT);1858;1734;1368;6,99;7,11;7,48;26,15;24,91;25,82;2,08;56,03;15,74;1125,26;;;
São José do Rio Claro (MT);3956;13168;8455;23,31;20,12;22,48;45,09;37,72;40,84;10,36;16,04;28,51;1537,68;;;
São José do Rio Pardo (SP);5941;45959;25964;21,81;21,91;20,56;8,03;6,77;6,66;22,12;14,16;55,69;1347,31;;;
São José do Rio Preto (SP);24768;383490;224249;26,62;24,55;23,39;0,31;0,3;0,35;14,44;10,01;75,24;1653,56;;;
São José do Sabugi (PB);1431;2579;1637;6,67;6,55;6,73;8,04;7,73;7,73;5,81;56,99;29,16;903,26;;;
São José dos Ausentes (RS);1228;2062;1525;17,35;19,51;20,72;43,79;48,29;52,97;7,78;23,32;25,1;1252,51;;;
São José dos Basílios (MA);4490;3006;2449;4,64;4,05;3,79;19,26;14,24;11,49;4,91;51,03;24,8;1023,45;;;
São José dos Campos (SP);12815;617106;326331;35,07;35,53;35,6;0,05;0,05;0,05;34,1;9,06;56,79;2270,94;;;
São José dos Cordeiros (PB);2342;1643;1619;4,61;4,61;4,74;6,87;8,41;8,54;3,71;71,89;17,54;777,02;;;
São José do Seridó (RN);929;3302;1825;9,49;9,87;13,41;12,32;12,46;8,66;22,33;43,23;22,12;773,15;;;
São José dos Pinhais (PR);27315;236895;139773;61,1;55,27;44,17;1,63;1,85;2,71;43,65;7,28;47,43;1956,84;;;
São José dos Quatro Marcos (MT);4491;14507;8708;14,43;12,94;12,62;13,39;14,41;15,19;21,87;24,93;39,81;1249,32;;;
São José dos Ramos (PB);3135;2373;1959;5,16;5,01;4,98;9,75;8,11;9,27;3,27;69,69;17,29;923,99;;;
