Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Macajuba (BA);55,62;0,27;71,81;4358;6871;3700;4,11;3,96;12,45;12,33;5,63;4,84;26,48;7,25
Maçambará (RS);55,93;;74,89;3428;1310;2107;29,06;31,08;61,55;63,77;6,48;6,35;37,32;10,49
Macambira (SE);39,44;0,13;68,66;3338;3063;2677;5,82;6,37;15,76;15,28;5,36;5,79;10,76;9,24
Macapá (AP);3,73;0,37;74,19;16990;381214;177238;15,65;14,44;0,6;0,59;9,46;10,36;64,33;9,6
Macaparana (PE);30,13;0,18;71,7;9092;14833;8609;6,76;6,49;15,83;15,34;3,5;5,62;9,67;9,28
Macarani (BA);23,96;0,08;71,94;3454;13639;7087;5,83;5,65;31,01;28,51;3,21;3,05;13,26;7,56
Macatuba (SP);19,29;0,07;76,52;483;15776;7952;21,92;23,77;5;3,72;14,14;12,15;4,58;10,88
Macaubal (SP);25,08;;75,64;890;6773;3775;12,71;11,89;23,34;19,08;6,06;6,88;8,3;11,33
Macaúbas (BA);49,19;0,51;72,43;31640;15411;17389;4,26;4,26;6,76;6,67;4,98;4,53;59,7;8,62
Macau (RN);10,47;7,49;72,49;6988;21966;11930;23,38;18,25;3,44;3,77;55,24;45,98;53,61;9,18
Macedônia (SP);34,39;;76,09;887;2777;1964;12,65;11,97;30,24;27,4;15,31;19,61;4,85;10,94
Maceió (AL);1,53;0,2;72,94;619;932129;429331;14,3;14,73;0,73;0,74;19,06;17,57;25,47;9,43
Machacalis (MG);29,98;0,11;71,96;1227;5749;2827;6,02;6,16;14,94;14,1;4,81;4,5;6,08;9,65
Machadinho D'Oeste (RO);48,35;0,19;70,32;14962;16173;13657;9,18;8,78;24,44;25,2;9,78;7,7;67,49;7,8
Machadinho (RS);47,44;0,12;73,39;2125;3385;2664;16,73;17,28;39,82;34,48;7,22;7,84;27,32;10,44
Machado (MG);32,98;0,09;75,9;6620;32068;19428;14,65;14,92;11,82;11,06;16,67;17,29;10,68;8,67
Machados (PE);49,61;0,11;70,99;5142;8454;3809;6,03;4,78;20,88;11,52;3,23;3,11;30,7;8,49
Macieira (SC);60,22;;73,38;1325;501;899;17,91;16,46;40,53;44,41;10,27;10,38;45,48;10,23
Macuco (RJ);12,03;0,3;73,03;676;4593;2242;18,47;17,85;2,71;2,64;18,19;17,65;23,74;8,86
Macururé (BA);41,87;0,19;69,9;5213;2860;3126;3,44;3,39;9,95;10,61;4,01;3,48;50,46;9,61
Madalena (CE);42,86;;71,65;9173;8915;5148;4,64;4,69;18,11;18,4;2,14;2,89;72,95;9,85
Madeiro (PI);64,08;0,33;71,31;4452;3364;2190;3,82;3,75;8,58;8,41;3;2,66;86,18;9,79
Madre de Deus (BA);2,85;1,63;72,64;522;16854;7809;16,24;17,54;0,46;0,47;19,14;16,31;7,12;9,52
Madre de Deus de Minas (MG);41,82;;76,38;1172;3732;2184;14,22;15,6;38,51;41,14;10,91;12,79;9,89;7,77
Mãe D'Água (PB);59,77;;67,7;2450;1569;1582;5,08;4,99;3,82;3,14;2,24;3,48;80,99;9,09
Mãe do Rio (PA);23,45;0,06;70,75;4852;23052;10311;7,23;6,9;9,38;8,78;9,88;8,74;26,48;7,71
Maetinga (BA);56,41;0,14;70,07;4221;2817;3114;5,71;6,06;7,57;6,95;5,42;5,54;42,56;8,53
Mafra (SC);22,43;0,26;77,82;11594;41318;27936;20,67;17,7;12,26;12,31;24,43;22,1;35,93;11,38
Magalhães Barata (PA);38,56;0,16;73,06;4320;3795;2405;5,29;5,21;35,17;32,96;3,84;3,92;81,22;8,66
Magalhães de Almeida (MA);50,29;;68,72;8624;8963;6066;4,29;3,55;23,94;16,83;4,96;5,62;82,05;9,19
Magda (SP);24,18;0,36;74,38;545;2655;1545;17,22;15,15;37,07;26,98;6,28;7,45;15,18;11,01
Magé (RJ);2,62;0,94;74,91;12086;215236;100204;11,08;10,99;1,13;1,2;11,81;11,87;52,49;8,99
Maiquinique (BA);32,7;3,11;66,4;1866;6916;3685;6,35;6,36;23,87;24,99;15,25;13,03;13,03;8,36
Mairi (BA);51,58;0,16;69,63;8211;11115;8379;4,34;4,5;12,54;14,64;4,24;4,22;14,43;8,06
Mairinque (SP);4,58;0,16;74,85;8533;34690;20403;26,65;25,56;1,11;1,23;44,55;42,35;34,11;9,85
Mairiporã (SP);2,28;0,23;77,86;10206;70750;38198;13,13;12,12;0,09;0,09;22,82;21,71;61,29;11,01
Mairipotaba (GO);26,63;3,25;76,23;804;1570;1080;12,99;13,5;43,71;49,92;4,48;4,25;34,31;10,82
Major Gercino (SC);42,47;0,47;74,06;2030;1249;1761;9,73;8,82;22,19;17,01;11,85;11,93;75,4;8,56
Major Isidoro (AL);51,3;;70,31;9591;9306;6752;5,46;5,64;17,48;17,72;3,52;3,02;15,01;8,92
Major Sales (RN);30,1;0,33;71,46;636;2900;1177;6,34;6,11;20,86;14,49;1,84;1,83;27,54;10,43
Major Vieira (SC);57,9;;74,01;4518;2961;3369;18,59;15,81;45,62;42,87;10,58;9,72;37,43;9,66
Malacacheta (MG);44,35;0,07;71,05;6958;11818;7485;6,76;6,75;16,35;17,88;8,54;6,54;37,2;8,19
Malhada (BA);55,32;;69,02;9455;6559;5642;5,09;5,1;25,55;25,19;5,94;4,89;44,82;8,02
Malhada de Pedras (BA);52,59;0,11;69,83;5234;3234;3281;4,32;4,23;10,42;11,86;5,37;4,93;19,98;9,12
Malhada dos Bois (SE);26,58;0,39;68,31;1856;1600;1226;9,71;9,15;5,8;5,27;5,46;4,65;0,87;9,74
Malhador (SE);54,61;0,12;71,87;6416;5626;5372;6,75;6,54;26,53;26,87;4,58;4,27;14,73;8,49
Mallet (PR);47,98;0,21;73,54;5403;7570;6440;28,6;27,85;25,58;23,89;43,46;44,81;52,75;11,07
Malta (PB);26,24;;73,01;708;4905;1887;5,48;5,57;4,85;4,94;5,89;7,92;80,87;9,66
Mamanguape (PB);21,63;1,37;70,33;8069;34234;15056;8,56;8,81;12,5;8,45;12,63;19,77;18,27;8,53
Mambaí (GO);37,86;0,16;73,95;2069;4802;2520;7,15;6,41;3,81;3,64;6,03;6,66;87,98;9,28
Mamborê (PR);33,43;;74,24;4977;8984;6357;25,77;24,46;37,96;35,56;4,19;4,36;10,15;10,65
Mamonas (MG);50,53;0,59;71,73;3509;2812;2487;4,32;4,35;7,66;7,05;3,6;3,67;34,01;10,49
Mampituba (RS);76,35;2,17;73,8;2435;568;1543;11,04;11,36;42,77;43,97;5,9;5,17;65,36;10,68
Manacapuru (AM);34,52;0,16;72,69;24967;60174;31146;10,7;10,85;49,12;50,7;7,21;6,43;75,47;8,63
Manaíra (PB);59,66;;66,85;4732;6027;3727;4,26;4,14;6,89;4,19;3,15;5,9;72,26;8,25
Manaquiri (AM);64,17;;69,88;15739;7062;7367;5,92;5,88;39,29;42,96;3,91;3,27;88,94;8,15
Manari (PE);85,12;;65,89;14265;3818;8055;3,89;3,61;7,31;5,17;2,4;2,38;28,94;7,8
Manaus (AM);1,31;0,35;74,54;9133;1792881;813203;26,27;23,53;0,38;0,38;40,71;40,43;82,65;9,51
