Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Marabá Paulista (SP);34,16;;73,54;2670;2142;1918;19,52;16,07;46,93;39,15;14,47;15,88;4,91;10,5
Maracaçumé (MA);24,54;0,81;68,14;3326;15829;6334;4,74;4,73;12,15;12,45;4,64;4,99;25,29;9,26
Maracaí (SP);32,48;;75,97;1247;12085;6578;22,43;23,49;13,92;14,93;28,17;25,77;4,16;10,42
Maracajá (SC);16,94;1,14;76,63;2148;4256;3383;19,42;17,44;7,19;6,88;24,91;22,56;15,3;11,51
Maracaju (MS);21,18;0,04;77,35;5181;32224;17966;33,98;34,45;33,77;36,29;11,99;13,88;23,75;9,75
Maracanã (PA);49,54;;70,85;16720;11656;9277;4,98;4,71;27,08;25,95;3,88;4,08;70,33;8,49
Maracanaú (CE);1,53;0,05;72,27;1434;207623;91366;25,18;25,74;0,1;0,08;40,93;41,36;47,47;10,23
Maracás (BA);43,89;0,28;69,8;6906;17707;10608;6,28;7,91;14,75;10,53;15,15;24,05;39,57;9,06
Maragogi (AL);31,23;0,22;70,96;10124;18625;9893;10,33;9,94;33,52;27,85;4,01;4,14;26,73;8,24
Maragogipe (BA);53,51;0,65;72,58;17722;25093;18614;9,38;6,75;11,36;16,04;39,46;19,34;48,77;8,73
Maraial (PE);42,94;;66,85;3671;8559;3786;4,51;4,35;5,55;5,93;2,86;2,67;26,16;8,72
Marajá do Sena (MA);75,62;;71,44;6893;1158;2035;5,18;;34,85;;4,32;;59,25;6,62
Maranguape (CE);15,64;0,02;72,27;27252;86309;43824;6,84;6,66;4,22;3,97;26,8;23,13;82,53;9,91
Maranhãozinho (MA);51,27;0,47;68,15;5045;9020;4713;3,95;3,75;23,81;24,8;8,4;10,88;21,9;8,5
Marapanim (PA);39,77;0,36;70,61;14901;11704;9906;5,36;4,89;23,33;19,48;4,2;4,26;75,99;9,16
Marapoama (SP);19,65;;76,14;434;2199;1334;41,29;92,32;20,1;6,38;38,54;77,02;5,15;11,14
Mara Rosa (GO);29,34;0,64;75,29;2688;7961;5038;12,08;12,07;27,71;26,69;9,29;9,76;42,25;11,57
Marataízes (ES);25,65;0,49;75,8;6526;27614;14500;92,01;47,57;1,99;2,59;75,46;63,71;2,08;8,61
Maratá (RS);50,81;;76,74;1774;753;1653;28,83;24,74;30,92;27,18;32,79;33,31;75,9;8,83
Maraú (BA);46,21;0,1;73,08;15540;3561;7447;6,8;7,09;26,64;28,16;5,37;5,65;81,34;6,84
Marau (RS);15,04;0,04;76,44;4806;31558;21776;32,93;30,4;9,84;11,15;42,21;38,36;16,25;9,65
Maravilha (AL);58,47;0,19;69,54;5147;5137;4017;4,62;4,98;6,29;14,43;3,17;2,94;13,36;9,1
Maravilha (SC);15,8;0,08;78,17;4014;18087;12642;28,98;25,6;4,45;4,19;42,28;39,33;21,68;9,59
Maravilhas (MG);29,92;1,78;75,7;2267;4896;3523;11,55;8,73;19,58;19,44;20,22;8,4;26,64;10,02
Marcação (PB);63,66;;66,43;4760;2849;2940;6,49;5,94;30,95;29,74;1,97;2,85;20,97;7,91
Marcelândia (MT);29,16;;73,79;4580;7426;5530;15,05;15,24;31,22;32,92;16,67;12,17;76,97;9,74
Marcelino Ramos (RS);49,98;;75,03;2412;2722;3042;14,59;14,67;30,12;27,57;9,44;10,13;32,61;10,56
Marcelino Vieira (RN);32,4;;71,56;3371;4894;2757;4,94;4,98;9,67;7,34;2,99;3,36;46,63;9,62
Marcionílio Souza (BA);47,42;;69,24;5188;5312;3474;5,26;4,8;20,05;16,27;8,56;6,54;25,57;8,39
Marco (CE);25,84;0,13;69,05;9268;15435;9427;7,46;7,12;4,98;5,71;16,27;15,35;74,14;9,28
Marcolândia (PI);33,2;0,11;67,02;1105;6707;3354;4,6;5,18;2,28;4,94;4,79;5,73;52,93;8,63
Marcos Parente (PI);31,61;;68,02;611;3845;1639;4,99;5,52;9,64;13,89;5,74;5,37;99,14;8,91
Mar de Espanha (MG);9,36;1,76;74,51;999;10750;5899;8,47;8,31;6,87;7,38;19,7;18,59;26,85;9,06
Marechal Cândido Rondon (PR);22,7;0,07;75,51;7672;39147;26173;26,76;26,02;13,95;12,38;24,49;24,01;15,79;11,04
Marechal Deodoro (AL);9,85;0,43;72,55;2585;43392;17411;19,37;21,01;10,4;8,17;38,65;44,93;19,38;9,14
Marechal Floriano (ES);34,86;0,14;75,95;6841;7421;7621;15,26;15,64;18,22;14,74;14,89;16,2;67,73;9,29
Marechal Thaumaturgo (AC);54,11;;68,55;10258;3969;4318;7,8;6,82;25,41;23,01;3,81;2,31;97,99;7,52
Marema (SC);63,27;;76,7;1443;760;1220;22,5;20,77;53,22;52,94;3,04;3,65;20,37;11,66
Maria da Fé (MG);27,32;;75,53;5833;8383;6452;7,05;7,21;11,71;11,14;6,55;6,22;23,4;10,41
Maria Helena (PR);37,01;0,12;75,52;1962;3994;2954;9,04;9,78;41,32;38,99;4,75;5,76;8,29;10,61
Marialva (PR);24,02;0,2;73,84;6167;25792;16947;24,07;27,21;12,3;9,94;24,23;20,68;5,67;10,8
Mariana (MG);6,92;14,64;77,43;6577;47642;25300;67,7;39,96;0,47;0,59;70,43;59,34;44,05;9,74
Mariana Pimentel (RS);62,57;;76,94;3130;638;1995;10,78;10,6;37,79;36,2;4;4,36;63,83;11,67
