mun;ano;estabelecimentos
Mg-Monte Alegre de Minas;2002;14
Mg-Monte Azul;2002;10
Mg-Monte Belo;2002;14
Mg-Monte Carmelo;2002;104
Mg-Monte Formoso;2002;1
Mg-Monte Santo de Minas;2002;49
Mg-Montes Claros;2002;422
Mg-Monte Siao;2002;544
Mg-Montezuma;2002;3
Mg-Morada Nova de Minas;2002;9
Mg-Morro da Garca;2002;3
Mg-Morro do Pilar;2002;3
Mg-Munhoz;2002;4
Mg-Muriae;2002;395
Mg-Mutum;2002;23
Mg-Muzambinho;2002;52
Mg-Nacip Raydan;2002;2
Mg-Nanuque;2002;44
Mg-Naque;2002;2
Mg-Natalandia;2002;0
Mg-Natercia;2002;11
Mg-Nazareno;2002;9
Mg-Nepomuceno;2002;22
Mg-Ninheira;2002;3
Mg-Nova Belem;2002;3
Mg-Nova Era;2002;20
Mg-Nova Lima;2002;112
Mg-Nova Modica;2002;1
Mg-Nova Ponte;2002;19
Mg-Nova Porteirinha;2002;7
Mg-Nova Resende;2002;15
Mg-Nova Serrana;2002;692
Mg-Novo Cruzeiro;2002;2
Mg-Novo Oriente de Minas;2002;2
Mg-Novorizonte;2002;1
Mg-Olaria;2002;0
Mg-Olhos-D Agua;2002;4
Mg-Olimpio Noronha;2002;2
Mg-Oliveira;2002;97
Mg-Oliveira Fortes;2002;6
Mg-Onca de Pitangui;2002;6
Mg-Oratorios;2002;1
Mg-Orizania;2002;1
Mg-Ouro Branco;2002;54
Mg-Ouro Fino;2002;135
Mg-Ouro Preto;2002;85
Mg-Ouro Verde de Minas;2002;2
Mg-Padre Carvalho;2002;3
Mg-Padre Paraiso;2002;10
Mg-Paineiras;2002;8
Mg-Pains;2002;56
Mg-Pai Pedro;2002;0
Mg-Paiva;2002;1
Mg-Palma;2002;7
Mg-Palmopolis;2002;1
Mg-Papagaios;2002;183
Mg-Paracatu;2002;84
Mg-Para de Minas;2002;225
Mg-Paraguacu;2002;51
Mg-Paraisopolis;2002;25
Mg-Paraopeba;2002;65
Mg-Passabem;2002;0
Mg-Passa Quatro;2002;43
